station,hour,day_of_week,month,is_weekend,is_holiday,is_peak_hour,crowd_level
Wimco Nagar Depot,3,0,5,0,0,0,0.29685644908656555
Tondiarpet,20,1,1,0,0,0,0.32769483595316934
Wimco Nagar,5,3,4,0,0,0,0.29532811274459697
Thousand Lights,4,1,9,0,0,0,0.22214175214274107
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,5,1,1,0,0,0,0.1538724911709866
Chennai International Airport,16,6,12,1,0,1,0.9905719496362826
Puratchi Thalaivar Dr. M.G. Ramachandran Central,9,6,11,1,0,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,5,6,10,1,0,0,0.6592670641195018
Kaladipet,10,1,11,0,0,1,1.0
Anna Nagar Tower,22,0,3,0,0,0,0.36449300662542805
St. Thomas Mount,17,4,9,0,0,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,20,1,8,0,0,0,0.40874489574106637
Washermanpet,18,0,5,0,0,1,0.830775328960069
Egmore,19,6,7,1,0,1,0.9748798673469053
Sir Theagaraya College,5,1,6,0,0,0,0.2776685798493021
Tiruvottiyur,9,0,5,0,0,1,1.0
Tiruvottiyur Theradi,9,4,1,0,0,1,1.0
Meenambakkam,17,0,4,0,0,1,1.0
Tiruvottiyur Theradi,14,4,4,0,0,0,0.5103217129307465
Ekkattuthangal,4,3,9,0,0,0,0.20751154096835084
Saidapet,11,2,4,0,0,0,0.6070017233037495
Washermanpet,6,1,8,0,0,0,0.2150275417531405
Meenambakkam,10,5,3,1,0,1,1.0
Shenoy Nagar,8,1,7,0,0,1,1.0
Kilpauk,2,5,12,1,0,0,0.5824779548204795
Alandur,2,1,5,0,0,0,0.42799943398560836
Tiruvottiyur,0,6,1,1,0,0,0.46504802961207997
Tollgate,7,2,2,0,0,1,0.7518300825274765
Nandanam,15,1,1,0,0,0,0.6448268761667096
Guindy,17,2,9,0,0,1,0.9067757102273012
St. Thomas Mount,8,4,5,0,0,1,1.0
Vadapalani,9,2,10,0,1,1,1.0
Tiruvottiyur Theradi,16,1,6,0,0,1,1.0
Guindy,17,6,10,1,0,1,1.0
Washermanpet,12,3,7,0,0,0,0.34146958853462617
Meenambakkam,5,3,12,0,0,0,0.3579852754103877
Guindy,22,3,3,0,0,0,0.06972477962400579
St. Thomas Mount,1,3,9,0,0,0,0.25080394280099005
Sir Theagaraya College,22,0,3,0,0,0,0.30520390748213977
Ashok Nagar,17,2,2,0,0,1,1.0
AG-DMS,5,1,12,0,0,0,0.16629740955645836
Chennai International Airport,19,3,6,0,0,1,0.9333399440604913
Thousand Lights,6,1,10,0,0,0,0.3838262720842636
Nehru Park,17,1,6,0,0,1,0.982867692844945
Sir Theagaraya College,16,3,8,0,0,1,1.0
Koyambedu,0,6,8,1,0,0,0.35960370965092076
Meenambakkam,0,3,11,0,0,0,0.18770925924343343
Guindy,17,0,10,0,0,1,0.9571940509063012
Tiruvottiyur Theradi,14,1,12,0,1,0,0.700105270165211
Government Estate,7,0,10,0,1,1,1.0
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,8,0,10,0,0,1,1.0
Tiruvottiyur,17,4,6,0,0,1,0.908843451345473
Anna Nagar Tower,6,3,6,0,0,0,0.1379987221153093
Nandanam,5,0,1,0,0,0,0.16801648113154996
Puratchi Thalaivar Dr. M.G. Ramachandran Central,4,6,8,1,0,0,0.5859206134884425
Tondiarpet,2,3,2,0,0,0,0.16127393578546215
Koyambedu,12,4,11,0,0,0,0.7412066035026957
Little Mount,0,6,3,1,0,0,0.3494068562408496
Government Estate,5,4,12,0,1,0,0.4918535215142903
Shenoy Nagar,23,0,3,0,0,0,0.29734590759964036
Guindy,12,1,12,0,0,0,0.4282462070314227
LIC,22,0,5,0,0,0,0.22299554654750753
Nehru Park,16,0,5,0,0,1,1.0
Saidapet,18,2,5,0,0,1,1.0
Tiruvottiyur,0,2,2,0,0,0,0.25836898131304614
Washermanpet,4,4,9,0,0,0,0.3648084099357407
Saidapet,10,0,10,0,0,1,0.9578529481332229
Alandur,12,1,7,0,0,0,0.5264415543989949
Alandur,15,3,4,0,0,0,0.4117207488377077
Arumbakkam,1,1,9,0,0,0,0.37598772511465495
Arumbakkam,5,4,12,0,0,0,0.27955725587028735
Pachaiyappa's College,16,5,6,1,0,1,1.0
Nanganallur Road,17,6,3,1,0,1,1.0
Tiruvottiyur,21,5,10,1,0,0,0.5690660736246734
Anna Nagar Tower,2,1,5,0,0,0,0.4426906051496017
Egmore,8,4,2,0,0,1,1.0
Tiruvottiyur Theradi,11,0,7,0,0,0,0.2506559293664062
Koyambedu,9,5,4,1,0,1,1.0
Little Mount,4,4,3,0,0,0,0.2539665348869347
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,16,6,5,1,0,1,1.0
Wimco Nagar,5,3,8,0,0,0,0.29572920597803753
Sir Theagaraya College,8,2,12,0,0,1,1.0
Koyambedu,1,6,2,1,0,0,0.49980521969520814
Meenambakkam,15,1,8,0,0,0,0.4007942111526319
Ekkattuthangal,15,1,11,0,0,0,0.5235387275299004
Tondiarpet,16,5,8,1,0,1,1.0
Vadapalani,12,2,3,0,0,0,0.5883659645809278
Egmore,22,1,8,0,0,0,0.2385968560702577
High Court,22,3,7,0,0,0,0.3591099922999798
Pachaiyappa's College,1,6,8,1,0,0,0.5274314394842542
Ashok Nagar,4,3,11,0,0,0,0.25262809761577276
Alandur,0,4,9,0,0,0,0.4191763799648127
AG-DMS,10,5,12,1,0,1,1.0
Wimco Nagar,18,3,11,0,0,1,0.8229216780677939
Tiruvottiyur Theradi,0,2,11,0,0,0,0.2054103370230511
Chennai International Airport,4,1,11,0,1,0,0.5688161359909941
Tondiarpet,15,3,12,0,0,0,0.3587958371411048
Washermanpet,12,1,5,0,0,0,0.41207842509000875
LIC,17,3,11,0,0,1,1.0
Anna Nagar Tower,7,6,9,1,0,1,1.0
Egmore,19,5,4,1,0,1,1.0
Washermanpet,18,4,1,0,0,1,0.8581621025629416
High Court,15,5,11,1,0,0,0.7173226734806372
Saidapet,20,1,11,0,0,0,0.16510613597914808
Wimco Nagar Depot,20,4,3,0,0,0,0.3258567937471149
Thousand Lights,3,6,9,1,0,0,0.4544377206352153
AG-DMS,20,0,6,0,0,0,0.43713202438134685
AG-DMS,12,5,4,1,0,0,0.793063107626629
Koyambedu,19,2,11,0,0,1,0.8718571789381031
High Court,15,5,3,1,0,0,0.6223679872984424
AG-DMS,17,6,4,1,0,1,1.0
Vadapalani,23,5,5,1,0,0,0.24286463809700046
Anna Nagar Tower,11,6,10,1,0,0,0.5786797531633556
Nanganallur Road,2,4,12,0,0,0,0.4140246309562589
Egmore,4,6,11,1,0,0,0.36937952585447376
Wimco Nagar,9,4,7,0,0,1,0.8537939556525578
High Court,7,3,9,0,0,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,14,0,11,0,0,0,0.3816195993507334
Tollgate,14,2,3,0,0,0,0.5250880164215569
Anna Nagar East,20,3,4,0,0,0,0.2771226620017998
Vadapalani,20,2,3,0,0,0,0.2328671995233856
Tondiarpet,5,3,10,0,0,0,0.31564555574914666
Alandur,2,2,2,0,0,0,0.26733209191970386
Ashok Nagar,3,2,10,0,0,0,0.46486911451810786
Vadapalani,17,4,5,0,0,1,0.9515003238649746
Vadapalani,16,4,10,0,0,1,0.9419900836748344
Shenoy Nagar,3,6,7,1,0,0,0.38649033420163226
Anna Nagar East,21,5,8,1,0,0,0.2628635837194969
AG-DMS,2,3,9,0,0,0,0.23829287717535397
Kilpauk,19,2,8,0,0,1,1.0
Thousand Lights,2,3,10,0,0,0,0.14578491863386223
LIC,15,0,1,0,0,0,0.5234715868861415
Sir Theagaraya College,22,0,5,0,0,0,0.3881815100803059
Government Estate,22,3,6,0,0,0,0.4272772934226785
Wimco Nagar,23,0,9,0,0,0,0.33816864529672297
St. Thomas Mount,4,3,3,0,0,0,0.27784761146649073
Mannadi,9,1,3,0,0,1,1.0
Nanganallur Road,18,2,10,0,0,1,1.0
Little Mount,7,6,9,1,0,1,1.0
Anna Nagar East,20,1,1,0,0,0,0.1927313596636427
Nandanam,17,6,11,1,0,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,13,6,9,1,0,0,0.6649357328407827
Vadapalani,6,1,10,0,0,0,0.3412642313312066
Washermanpet,19,5,4,1,0,1,1.0
Tondiarpet,22,0,1,0,0,0,0.30366622725798287
Teynampet,7,3,4,0,0,1,1.0
Tiruvottiyur Theradi,22,1,4,0,0,0,0.3809004025289675
Nanganallur Road,21,1,9,0,0,0,0.3307312771287562
Ashok Nagar,3,2,3,0,0,0,0.20367044183136906
Tiruvottiyur Theradi,9,1,6,0,0,1,0.9476636613653971
Wimco Nagar Depot,7,0,2,0,0,1,0.9204605229111529
Sir Theagaraya College,16,0,1,0,0,1,0.8824167104421503
Nandanam,21,0,12,0,0,0,0.2018583789963147
Thirumangalam,17,0,6,0,0,1,1.0
Kilpauk,17,0,10,0,0,1,1.0
Little Mount,18,3,6,0,0,1,1.0
Sir Theagaraya College,13,0,4,0,0,0,0.49062914290761694
Arumbakkam,12,4,12,0,0,0,0.43007868008939926
Egmore,14,6,1,1,1,0,1.0
Anna Nagar East,20,6,3,1,0,0,0.361353847424732
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,5,3,7,0,0,0,0.24959602487783314
Arumbakkam,13,1,4,0,0,0,0.49483032479553546
Arumbakkam,12,6,4,1,0,0,0.6812866765994112
Wimco Nagar Depot,14,0,2,0,0,0,0.3503603241488579
Thirumangalam,13,6,8,1,0,0,0.5853707116490493
Saidapet,18,2,10,0,0,1,0.6980878578953236
Chennai International Airport,19,1,6,0,0,1,0.8901255385730493
Ekkattuthangal,12,4,4,0,0,0,0.60738961233211
Guindy,4,6,2,1,0,0,0.543827785318679
Koyambedu,4,4,3,0,0,0,0.37285848792102744
Washermanpet,23,3,12,0,0,0,0.35433154039921483
Little Mount,11,3,10,0,0,0,0.3906476722267533
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,12,4,11,0,0,0,0.4173221753537474
Tiruvottiyur,6,1,6,0,0,0,0.17732550269989977
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,1,3,8,0,0,0,0.17935942492923676
Ekkattuthangal,4,2,2,0,0,0,0.43405061556912433
Ekkattuthangal,20,6,7,1,0,0,0.4039968646987913
LIC,19,3,2,0,0,1,0.9208178413992362
St. Thomas Mount,19,1,3,0,0,1,1.0
Chennai International Airport,8,4,11,0,0,1,0.8698063679880778
Egmore,22,6,3,1,0,0,0.5204320856511337
Little Mount,7,3,8,0,0,1,0.9684695380816352
Koyambedu,14,1,9,0,0,0,0.5063531748003048
Tollgate,15,3,11,0,0,0,0.4891030738918211
Guindy,19,0,5,0,0,1,1.0
Ashok Nagar,19,1,8,0,0,1,0.7559840639864616
LIC,23,3,3,0,0,0,0.349027587451755
AG-DMS,9,6,10,1,0,1,1.0
Vadapalani,11,5,9,1,0,0,0.5288003602085173
Kaladipet,1,5,7,1,0,0,0.35660768452602365
Alandur,9,6,12,1,1,1,1.0
High Court,14,0,1,0,0,0,0.37259931812755875
Shenoy Nagar,23,5,3,1,0,0,0.3490617142543502
Kilpauk,8,0,8,0,0,1,1.0
Egmore,15,5,2,1,0,0,0.6182051019675207
Washermanpet,19,2,7,0,0,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,12,0,10,0,0,0,0.4932072002940389
Thousand Lights,16,6,8,1,0,1,1.0
Anna Nagar Tower,10,1,4,0,0,1,0.9099989263029992
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,15,0,3,0,0,0,0.5553367654118624
LIC,18,0,5,0,0,1,1.0
Vadapalani,1,1,8,0,0,0,0.4656568190726288
Washermanpet,12,4,6,0,0,0,0.4112028213456467
LIC,14,3,10,0,0,0,0.37976180674604154
Kaladipet,4,1,1,0,0,0,0.0938552697830116
Washermanpet,12,5,9,1,0,0,0.7186275572842142
Mannadi,7,3,8,0,0,1,0.8915320714937691
Egmore,20,1,3,0,0,0,0.26740347849411994
Arumbakkam,21,0,10,0,0,0,0.20814824543297833
Sir Theagaraya College,8,2,8,0,0,1,1.0
Government Estate,22,2,2,0,0,0,0.32986567845038994
Tollgate,23,3,3,0,0,0,0.3910595140390232
Nehru Park,17,1,7,0,0,1,1.0
Nanganallur Road,15,5,9,1,0,0,0.6028008630793524
Little Mount,2,1,6,0,0,0,0.3357034437040432
Chennai International Airport,21,3,11,0,0,0,0.35388868623504743
Puratchi Thalaivar Dr. M.G. Ramachandran Central,3,3,9,0,0,0,0.4809754939757371
LIC,3,0,11,0,0,0,0.4272014110404201
Arumbakkam,4,3,8,0,0,0,0.3568452721699945
Kaladipet,9,5,3,1,0,1,1.0
Wimco Nagar,18,5,8,1,0,1,1.0
Nandanam,23,1,5,0,0,0,0.23635758424222011
Wimco Nagar Depot,14,5,7,1,0,0,0.7239558857327448
Sir Theagaraya College,8,6,6,1,0,1,1.0
Tondiarpet,1,2,12,0,0,0,0.11939655973221186
LIC,18,4,1,0,0,1,0.8714529057308966
Tollgate,21,1,7,0,0,0,0.3823946804974882
Teynampet,21,1,1,0,0,0,0.207152482403192
Kaladipet,22,0,2,0,0,0,0.455125557839051
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,6,2,9,0,0,0,0.3965736790801318
Tiruvottiyur Theradi,16,0,12,0,0,1,0.9840906756418614
Egmore,22,2,2,0,0,0,0.31938455388103987
Kilpauk,1,0,3,0,0,0,0.4843551706499129
Tollgate,1,0,8,0,0,0,0.36297500661168053
Washermanpet,5,1,3,0,0,0,0.22301251767924068
Tondiarpet,21,4,7,0,0,0,0.36344421579009595
Little Mount,6,5,2,1,0,0,0.49626003830643045
LIC,6,1,4,0,0,0,0.4132236983920104
Ekkattuthangal,5,4,10,0,0,0,0.4882544775260238
St. Thomas Mount,17,5,11,1,0,1,1.0
Wimco Nagar,9,0,9,0,0,1,0.7497616174840036
Little Mount,15,4,7,0,0,0,0.5245570318324303
Tondiarpet,22,0,2,0,0,0,0.3876339060054229
Sir Theagaraya College,1,5,1,1,0,0,0.32804367328467265
Tiruvottiyur Theradi,8,2,5,0,0,1,1.0
Tollgate,12,0,12,0,0,0,0.45276676794864157
Government Estate,10,5,5,1,0,1,1.0
Thousand Lights,6,4,7,0,0,0,0.4734945105332651
AG-DMS,10,4,7,0,0,1,1.0
Egmore,16,0,7,0,0,1,0.8105702865201032
Anna Nagar East,12,6,2,1,0,0,0.7875453462048554
Anna Nagar Tower,22,2,5,0,0,0,0.4490173917997143
Nehru Park,7,4,11,0,0,1,0.9337373280702845
Tiruvottiyur Theradi,1,2,12,0,0,0,0.31566175598823754
Kilpauk,4,2,6,0,0,0,0.30488703911152
Mannadi,13,5,4,1,0,0,0.6007353436491282
Anna Nagar East,12,1,2,0,0,0,0.35507074254274024
Egmore,10,6,11,1,0,1,1.0
Guindy,4,1,1,0,0,0,0.5092701433240203
Nanganallur Road,5,2,4,0,0,0,0.32109194759663096
Nehru Park,13,0,8,0,0,0,0.39907882379857124
Anna Nagar Tower,6,1,5,0,0,0,0.34536580236598624
Chennai International Airport,11,5,4,1,0,0,0.6346114856580233
High Court,3,6,9,1,0,0,0.3985898053512101
Kaladipet,17,1,9,0,0,1,0.7863367152874501
Wimco Nagar,23,3,11,0,0,0,0.3107996254602619
Kaladipet,5,1,4,0,0,0,0.4074286827046182
Nanganallur Road,15,2,8,0,0,0,0.5394713781111071
Thousand Lights,10,3,7,0,0,1,0.8308191516120338
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,21,1,11,0,1,0,0.7923941505518758
Kilpauk,12,0,12,0,0,0,0.42168115087577396
AG-DMS,18,0,12,0,0,1,0.894297796936542
Alandur,17,3,5,0,0,1,0.8561108993597651
Thirumangalam,19,2,4,0,0,1,1.0
Tollgate,1,0,10,0,0,0,0.2079715348189237
Chennai International Airport,5,1,6,0,0,0,0.2526368688240114
Vadapalani,21,1,10,0,0,0,0.5292726336119487
Vadapalani,14,2,8,0,0,0,0.5397931631435378
LIC,8,1,9,0,0,1,0.9125479042902733
Egmore,18,1,7,0,0,1,1.0
Thirumangalam,4,4,6,0,0,0,0.26825417982731187
Nandanam,11,2,5,0,0,0,0.6155592045408854
Little Mount,20,6,1,1,0,0,0.4991004443443128
Wimco Nagar Depot,10,2,9,0,0,1,0.8581351295609608
Shenoy Nagar,2,4,8,0,0,0,0.20697235554868082
Meenambakkam,16,0,11,0,0,1,0.893184581257395
Shenoy Nagar,6,0,5,0,0,0,0.16329665102896945
Thousand Lights,18,5,9,1,0,1,1.0
St. Thomas Mount,16,6,12,1,0,1,1.0
Nanganallur Road,11,6,12,1,0,0,0.5344289287413063
Tiruvottiyur Theradi,0,4,2,0,0,0,0.39659257396010766
Nehru Park,7,5,2,1,0,1,0.9015887751499746
Ashok Nagar,9,1,4,0,0,1,1.0
Meenambakkam,21,3,2,0,0,0,0.3120912924718704
Ashok Nagar,20,0,12,0,0,0,0.47822547226691303
Ashok Nagar,5,5,11,1,0,0,0.4741028470426999
Guindy,6,4,12,0,0,0,0.2167587927827372
Vadapalani,15,6,7,1,0,0,0.6322748456099035
Puratchi Thalaivar Dr. M.G. Ramachandran Central,10,0,7,0,0,1,0.7343410234638503
AG-DMS,14,4,11,0,0,0,0.40133232587792245
Anna Nagar East,12,5,3,1,0,0,0.688392241821884
Shenoy Nagar,16,3,6,0,0,1,1.0
Government Estate,6,2,5,0,0,0,0.42325875907859234
Nanganallur Road,13,2,9,0,0,0,0.5886258273358733
St. Thomas Mount,4,5,11,1,0,0,0.21532579162448795
Teynampet,11,2,12,0,0,0,0.5286326707376892
Thirumangalam,10,5,11,1,1,1,1.0
Chennai International Airport,2,5,3,1,0,0,0.43768974966328933
Ashok Nagar,17,5,9,1,0,1,1.0
Anna Nagar Tower,4,0,5,0,0,0,0.35447930171920483
Koyambedu,22,0,10,0,1,0,0.4852086487149014
Mannadi,11,4,10,0,0,0,0.4805908196410077
Ekkattuthangal,12,5,5,1,0,0,0.7087021488335441
St. Thomas Mount,22,6,1,1,0,0,0.708408312183033
Tiruvottiyur Theradi,10,4,5,0,0,1,1.0
Tollgate,22,1,4,0,0,0,0.2923399784261832
Vadapalani,3,5,11,1,0,0,0.4411569899431295
Alandur,23,2,5,0,0,0,0.36229031871120354
Mannadi,6,1,11,0,0,0,0.31899576047156863
Pachaiyappa's College,5,0,5,0,0,0,0.4365955601066109
Anna Nagar East,15,0,7,0,0,0,0.41755378130032655
Shenoy Nagar,11,0,6,0,0,0,0.554513499164757
Meenambakkam,17,1,4,0,0,1,0.9941922125823621
Anna Nagar East,16,0,3,0,0,1,1.0
Saidapet,11,1,3,0,0,0,0.5242297370164327
Tiruvottiyur,7,4,9,0,0,1,1.0
Sir Theagaraya College,4,5,4,1,0,0,0.47390900644481193
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,13,6,5,1,0,0,0.6574394182953325
Egmore,22,5,3,1,0,0,0.6082547529981092
Little Mount,4,4,3,0,0,0,0.28932895648126294
Saidapet,13,0,8,0,0,0,0.614103326220836
Kilpauk,10,5,7,1,0,1,1.0
Anna Nagar East,7,5,3,1,0,1,0.9304938488536132
Alandur,0,1,10,0,1,0,0.7931367549271657
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,10,3,7,0,0,1,0.9434749566883811
Guindy,8,3,3,0,0,1,0.8576945457517966
Nandanam,20,1,2,0,0,0,0.3131205969071462
Arumbakkam,10,0,10,0,0,1,0.7301894204187346
Kaladipet,8,1,9,0,0,1,1.0
Wimco Nagar,2,0,3,0,0,0,0.22759265615060925
Thirumangalam,10,1,5,0,0,1,1.0
Saidapet,20,3,6,0,0,0,0.27576934849988843
Anna Nagar Tower,6,5,10,1,0,0,0.3906767142685323
Vadapalani,23,3,4,0,0,0,0.22685622911569792
Thousand Lights,7,5,6,1,0,1,1.0
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,3,6,10,1,0,0,0.5519457799228484
Egmore,10,5,7,1,0,1,1.0
Wimco Nagar Depot,11,0,5,0,0,0,0.6403996081419281
Pachaiyappa's College,17,6,5,1,0,1,0.9990484101075885
Nandanam,1,2,6,0,0,0,0.234836810557939
Tondiarpet,0,0,12,0,0,0,0.26245636337645867
Arumbakkam,4,6,2,1,0,0,0.5106530968462422
Puratchi Thalaivar Dr. M.G. Ramachandran Central,5,2,3,0,0,0,0.03888456805709292
Thousand Lights,5,0,11,0,0,0,0.4781213170061125
Alandur,9,2,5,0,0,1,0.9556351449551796
Anna Nagar East,21,1,7,0,0,0,0.40011904379159624
Puratchi Thalaivar Dr. M.G. Ramachandran Central,15,6,12,1,0,0,0.6816115319076431
Alandur,2,4,2,0,0,0,0.2671698459110275
Ashok Nagar,5,3,1,0,0,0,0.3708211029149507
Tondiarpet,4,5,3,1,0,0,0.3119664382043386
Teynampet,9,1,4,0,0,1,0.9894753188562283
Arumbakkam,16,0,7,0,0,1,0.9843982771391684
Wimco Nagar Depot,20,1,5,0,0,0,0.2809762016142143
Kaladipet,7,0,7,0,0,1,1.0
Nandanam,13,2,5,0,0,0,0.4870879640556907
High Court,6,4,4,0,0,0,0.3203813236211462
Nandanam,5,2,8,0,0,0,0.4506215178673558
Thirumangalam,15,4,4,0,0,0,0.3213750522676457
Anna Nagar Tower,4,0,5,0,0,0,0.30355418829368475
Chennai International Airport,9,0,9,0,0,1,1.0
Anna Nagar Tower,22,1,12,0,0,0,0.2533768566709369
Teynampet,22,4,5,0,0,0,0.5083900358119897
Tondiarpet,16,1,12,0,0,1,0.7496447388080472
Pachaiyappa's College,16,4,9,0,0,1,1.0
Meenambakkam,11,4,2,0,0,0,0.5437768961514575
Anna Nagar East,8,2,5,0,0,1,1.0
AG-DMS,12,1,1,0,1,0,0.8428564521087771
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,8,3,8,0,0,1,1.0
Washermanpet,7,3,11,0,0,1,1.0
Pachaiyappa's College,2,6,12,1,0,0,0.3603108602696082
Washermanpet,21,5,6,1,0,0,0.4032383258623828
Kilpauk,23,2,2,0,0,0,0.4287310371898942
Thirumangalam,4,6,8,1,0,0,0.27434369267701875
Tollgate,8,1,1,0,1,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,16,3,11,0,0,1,1.0
Nandanam,9,6,2,1,0,1,1.0
Tollgate,14,4,4,0,0,0,0.4810244545521912
Tollgate,19,0,8,0,0,1,0.9050881480753298
Kilpauk,9,4,1,0,0,1,1.0
Anna Nagar East,9,6,10,1,0,1,1.0
Kilpauk,14,0,12,0,0,0,0.6306106842717191
Little Mount,2,2,8,0,0,0,0.424046464152544
Alandur,11,6,4,1,0,0,0.4816936382403294
Tiruvottiyur Theradi,22,5,8,1,0,0,0.4548941914695949
Teynampet,10,6,8,1,0,1,1.0
Wimco Nagar,19,3,11,0,0,1,1.0
Ekkattuthangal,22,1,6,0,0,0,0.3155478697966192
Chennai International Airport,1,1,10,0,0,0,0.13808927120846354
Meenambakkam,0,6,12,1,0,0,0.47754343749814687
LIC,2,6,10,1,0,0,0.3999143969283915
Egmore,0,4,2,0,0,0,0.18740098001059358
Alandur,5,6,6,1,0,0,0.40842707117854776
Nandanam,13,4,2,0,0,0,0.339676966254222
Little Mount,14,3,8,0,0,0,0.48237859630767416
Mannadi,1,2,3,0,0,0,0.20139402457871425
Thousand Lights,22,6,1,1,0,0,0.5156987598250417
Thirumangalam,23,2,2,0,0,0,0.26313821244259955
Tondiarpet,11,4,3,0,0,0,0.6495271330326667
Mannadi,14,2,1,0,0,0,0.38158769267768017
Shenoy Nagar,0,3,12,0,0,0,0.39498708424200557
Alandur,4,1,6,0,0,0,0.5636497543799971
Sir Theagaraya College,15,3,5,0,0,0,0.5100577644694476
Tiruvottiyur,1,0,1,0,0,0,0.43179184444207447
Thirumangalam,6,3,3,0,0,0,0.3346007583413809
Guindy,22,0,10,0,0,0,0.3672133598351574
Kilpauk,23,6,3,1,0,0,0.4396707383051799
Nanganallur Road,0,0,2,0,0,0,0.2107305333311803
Egmore,11,3,11,0,0,0,0.22632661905850268
Ashok Nagar,11,4,7,0,0,0,0.407055304391364
Saidapet,20,1,8,0,0,0,0.3183540196397294
Pachaiyappa's College,11,5,4,1,0,0,0.6327828745366648
Little Mount,1,3,6,0,0,0,0.19787728747415592
Tollgate,1,0,6,0,0,0,0.3916164339437618
Tiruvottiyur,18,2,7,0,0,1,1.0
Anna Nagar Tower,5,0,9,0,0,0,0.28827324704426915
Puratchi Thalaivar Dr. M.G. Ramachandran Central,3,3,12,0,0,0,0.23792906226006716
Tiruvottiyur,12,1,9,0,0,0,0.7008734080308916
Guindy,11,2,6,0,0,0,0.5567476722920178
High Court,6,0,12,0,0,0,0.23362129384482447
Sir Theagaraya College,15,5,10,1,0,0,0.8213760171932061
Chennai International Airport,21,6,10,1,1,0,0.7459165298597437
Teynampet,11,3,6,0,0,0,0.557003684496701
Nehru Park,6,5,7,1,0,0,0.5251207139258592
LIC,7,1,4,0,0,1,0.8863921719908331
Thirumangalam,0,3,3,0,0,0,0.2551288769755141
Tollgate,1,5,2,1,0,0,0.49341670692095385
Ashok Nagar,12,0,3,0,0,0,0.43408282769830187
St. Thomas Mount,10,3,4,0,0,1,1.0
Guindy,20,6,10,1,0,0,0.60438092539233
Wimco Nagar Depot,21,2,11,0,0,0,0.2252008626821781
Koyambedu,17,6,11,1,0,1,1.0
Kaladipet,14,1,11,0,0,0,0.5187303703862549
Wimco Nagar Depot,11,2,8,0,0,0,0.359870184268459
Meenambakkam,10,6,5,1,0,1,0.9544110426735762
Ekkattuthangal,9,5,10,1,0,1,0.9318812707634639
Ashok Nagar,9,2,12,0,0,1,1.0
Anna Nagar Tower,8,3,11,0,0,1,1.0
Chennai International Airport,5,5,7,1,0,0,0.5121945535508553
Washermanpet,22,5,8,1,0,0,0.33138472844391076
Sir Theagaraya College,14,4,4,0,0,0,0.36263688257525023
Thirumangalam,8,4,5,0,0,1,1.0
Vadapalani,21,4,6,0,0,0,0.2862222429710992
Saidapet,15,5,12,1,0,0,0.7024009916992394
High Court,11,2,6,0,0,0,0.4139935522747351
Anna Nagar East,4,0,8,0,0,0,0.2592367087285311
Ashok Nagar,18,1,3,0,0,1,0.9434585447812527
Alandur,15,2,8,0,0,0,0.4972072859826724
Nanganallur Road,18,2,12,0,0,1,1.0
Ashok Nagar,10,5,2,1,0,1,1.0
Sir Theagaraya College,23,4,6,0,0,0,0.262160896782877
St. Thomas Mount,18,3,6,0,0,1,1.0
Tiruvottiyur,8,5,9,1,0,1,1.0
Arumbakkam,20,5,9,1,0,0,0.3102624687032369
Puratchi Thalaivar Dr. M.G. Ramachandran Central,15,3,3,0,0,0,0.5559627578007149
Tiruvottiyur,15,6,4,1,0,0,0.720179426763297
Ashok Nagar,11,4,3,0,0,0,0.6506120915604562
Thirumangalam,21,3,2,0,0,0,0.4588392998404536
Tollgate,15,1,5,0,0,0,0.506961588462196
Wimco Nagar Depot,13,0,5,0,0,0,0.43500746211312935
Tiruvottiyur,14,6,2,1,0,0,0.800799130330921
Arumbakkam,23,0,2,0,0,0,0.3072623823849964
Sir Theagaraya College,14,5,11,1,0,0,0.5769332916874637
Meenambakkam,11,0,11,0,0,0,0.506357493460671
Ekkattuthangal,16,3,4,0,0,1,1.0
Alandur,19,6,4,1,0,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,21,5,7,1,0,0,0.49787859848260635
Wimco Nagar Depot,10,6,6,1,0,1,1.0
Wimco Nagar Depot,0,3,2,0,0,0,0.25550853134642537
Ekkattuthangal,11,3,6,0,0,0,0.47112204322504403
Kilpauk,3,0,5,0,0,0,0.4762860745876965
Ekkattuthangal,20,5,11,1,0,0,0.5195861820206441
